cohort,variable,variable_label,class
CHARLS,h1dchild,h1dchild:w1 total number of deceased children,numeric
CHARLS,h1ddau,h1ddau:w1 number of deceased daughters,numeric
CHARLS,h1dson,h1dson:w1 number of deceased sons,numeric
CHARLS,h2dchild,h2dchild:w2 total number of deceased children,numeric
CHARLS,h2ddau,h2ddau:w2 number of deceased daughters,numeric
CHARLS,h2dson,h2dson:w2 number of deceased sons,numeric
CHARLS,h3dchild,h3dchild:w3 total number of deceased children,numeric
CHARLS,h3ddau,h3ddau:w3 number of deceased daughters,numeric
CHARLS,h3dson,h3dson:w3 number of deceased sons,numeric
CHARLS,h4dchild,h4dchild:w4 total number of deceased children,numeric
CHARLS,h4ddau,h4ddau:w4 number of deceased daughters,numeric
CHARLS,h4dson,h4dson:w4 number of deceased sons,numeric
CHARLS,hh1amort,hh1amort:w1 Asset: HHold total mortgage for primary residence,numeric
CHARLS,hh2amort,hh2amort:w2 Asset: HHold total mortgage for primary residence,numeric
CHARLS,r1chdeathe,r1chdeathe:w1 r ever experienced death of own child,haven_labelled;vctrs_vctr;double
CHARLS,r1dadage,r1dadage:w1 r father's age current/at death,numeric
CHARLS,r1decbro,r1decbro:w1 r number of deceased brothers,numeric
CHARLS,r1decsib,r1decsib:w1 r number of deceased siblings,numeric
CHARLS,r1decsis,r1decsis:w1 r number of deceased sisters,numeric
CHARLS,r1iwstat,r1iwstat:w1 r interview status,haven_labelled;vctrs_vctr;double
CHARLS,r1momage,r1momage:w1 r mother's age current/at death,numeric
CHARLS,r2chdeathe,r2chdeathe:w2 r ever experienced death of own child,haven_labelled;vctrs_vctr;double
CHARLS,r2dadage,r2dadage:w2 r father's age current/at death,numeric
CHARLS,r2decbro,r2decbro:w2 r number of deceased brothers,numeric
CHARLS,r2decsib,r2decsib:w2 r number of deceased siblings,numeric
CHARLS,r2decsis,r2decsis:w2 r number of deceased sisters,numeric
CHARLS,r2iwstat,r2iwstat:w2 r interview status,haven_labelled;vctrs_vctr;double
CHARLS,r2momage,r2momage:w2 r mother's age current/at death,numeric
CHARLS,r3chdeathe,r3chdeathe:w3 r ever experienced death of own child,haven_labelled;vctrs_vctr;double
CHARLS,r3dadage,r3dadage:w3 r father's age current/at death,numeric
CHARLS,r3decbro,r3decbro:w3 r number of deceased brothers,numeric
CHARLS,r3decsib,r3decsib:w3 r number of deceased siblings,numeric
CHARLS,r3decsis,r3decsis:w3 r number of deceased sisters,numeric
CHARLS,r3iwstat,r3iwstat:w3 r interview status,haven_labelled;vctrs_vctr;double
CHARLS,r3momage,r3momage:w3 r mother's age current/at death,numeric
CHARLS,r4chdeathe,r4chdeathe:w4 r ever experienced death of own child,haven_labelled;vctrs_vctr;double
CHARLS,r4dadage,r4dadage:w4 r father's age current/at death,numeric
CHARLS,r4decbro,r4decbro:w4 r number of deceased brothers,numeric
CHARLS,r4decsib,r4decsib:w4 r number of deceased siblings,numeric
CHARLS,r4decsis,r4decsis:w4 r number of deceased sisters,numeric
CHARLS,r4iwstat,r4iwstat:w4 r interview status,haven_labelled;vctrs_vctr;double
CHARLS,r4momage,r4momage:w4 r mother's age current/at death,numeric
CHARLS,radmonth,radmonth:r death month,numeric
CHARLS,radyear,radyear:r death year,numeric
CHARLS,s1chdeathe,s1chdeathe:w1 s ever experienced death of own child,haven_labelled;vctrs_vctr;double
CHARLS,s1dadage,s1dadage:w1 s father's age current/at death,numeric
CHARLS,s1decbro,s1decbro:w1 s number of deceased brothers,numeric
CHARLS,s1decsib,s1decsib:w1 s number of deceased siblings,numeric
CHARLS,s1decsis,s1decsis:w1 s number of deceased sisters,numeric
CHARLS,s1dmonth,s1dmonth:w1 s death month,numeric
CHARLS,s1dyear,s1dyear:w1 s death year,numeric
CHARLS,s1iwstat,s1iwstat:w1 s interview status,haven_labelled;vctrs_vctr;double
CHARLS,s1momage,s1momage:w1 s mother's age current/at death,numeric
CHARLS,s2chdeathe,s2chdeathe:w2 s ever experienced death of own child,haven_labelled;vctrs_vctr;double
CHARLS,s2dadage,s2dadage:w2 s father's age current/at death,numeric
CHARLS,s2decbro,s2decbro:w2 s number of deceased brothers,numeric
CHARLS,s2decsib,s2decsib:w2 s number of deceased siblings,numeric
CHARLS,s2decsis,s2decsis:w2 s number of deceased sisters,numeric
CHARLS,s2iwstat,s2iwstat:w2 s interview status,haven_labelled;vctrs_vctr;double
CHARLS,s2momage,s2momage:w2 s mother's age current/at death,numeric
CHARLS,s3chdeathe,s3chdeathe:w3 s ever experienced death of own child,haven_labelled;vctrs_vctr;double
CHARLS,s3dadage,s3dadage:w3 s father's age current/at death,numeric
CHARLS,s3decbro,s3decbro:w3 s number of deceased brothers,numeric
CHARLS,s3decsib,s3decsib:w3 s number of deceased siblings,numeric
