value,value_label,cohort,variable,variable_label
0,0.inap.,CHARLS,r1iwstat,r1iwstat:w1 r interview status
1,"1.resp, alive",CHARLS,r1iwstat,r1iwstat:w1 r interview status
4,"4.nr, alive",CHARLS,r1iwstat,r1iwstat:w1 r interview status
5,"5.nr, died this wv",CHARLS,r1iwstat,r1iwstat:w1 r interview status
6,"6.nr, died prev wv",CHARLS,r1iwstat,r1iwstat:w1 r interview status
7,"7.nr, dropped from samp",CHARLS,r1iwstat,r1iwstat:w1 r interview status
9,"9.nr, dk if alive or died",CHARLS,r1iwstat,r1iwstat:w1 r interview status
,.d:dk,CHARLS,r1iwstat,r1iwstat:w1 r interview status
,.m:missing,CHARLS,r1iwstat,r1iwstat:w1 r interview status
,.p:proxy,CHARLS,r1iwstat,r1iwstat:w1 r interview status
,.r:refuse,CHARLS,r1iwstat,r1iwstat:w1 r interview status
,.s:skip,CHARLS,r1iwstat,r1iwstat:w1 r interview status
,.u:unmar,CHARLS,r1iwstat,r1iwstat:w1 r interview status
,.v:sp nr,CHARLS,r1iwstat,r1iwstat:w1 r interview status
0,0.inap.,CHARLS,r2iwstat,r2iwstat:w2 r interview status
1,"1.resp, alive",CHARLS,r2iwstat,r2iwstat:w2 r interview status
4,"4.nr, alive",CHARLS,r2iwstat,r2iwstat:w2 r interview status
5,"5.nr, died this wv",CHARLS,r2iwstat,r2iwstat:w2 r interview status
6,"6.nr, died prev wv",CHARLS,r2iwstat,r2iwstat:w2 r interview status
7,"7.nr, dropped from samp",CHARLS,r2iwstat,r2iwstat:w2 r interview status
9,"9.nr, dk if alive or died",CHARLS,r2iwstat,r2iwstat:w2 r interview status
,.d:dk,CHARLS,r2iwstat,r2iwstat:w2 r interview status
,.m:missing,CHARLS,r2iwstat,r2iwstat:w2 r interview status
,.p:proxy,CHARLS,r2iwstat,r2iwstat:w2 r interview status
,.r:refuse,CHARLS,r2iwstat,r2iwstat:w2 r interview status
,.s:skip,CHARLS,r2iwstat,r2iwstat:w2 r interview status
,.u:unmar,CHARLS,r2iwstat,r2iwstat:w2 r interview status
,.v:sp nr,CHARLS,r2iwstat,r2iwstat:w2 r interview status
0,0.inap.,CHARLS,r3iwstat,r3iwstat:w3 r interview status
1,"1.resp, alive",CHARLS,r3iwstat,r3iwstat:w3 r interview status
4,"4.nr, alive",CHARLS,r3iwstat,r3iwstat:w3 r interview status
5,"5.nr, died this wv",CHARLS,r3iwstat,r3iwstat:w3 r interview status
6,"6.nr, died prev wv",CHARLS,r3iwstat,r3iwstat:w3 r interview status
7,"7.nr, dropped from samp",CHARLS,r3iwstat,r3iwstat:w3 r interview status
9,"9.nr, dk if alive or died",CHARLS,r3iwstat,r3iwstat:w3 r interview status
,.d:dk,CHARLS,r3iwstat,r3iwstat:w3 r interview status
,.m:missing,CHARLS,r3iwstat,r3iwstat:w3 r interview status
,.p:proxy,CHARLS,r3iwstat,r3iwstat:w3 r interview status
,.r:refuse,CHARLS,r3iwstat,r3iwstat:w3 r interview status
,.s:skip,CHARLS,r3iwstat,r3iwstat:w3 r interview status
,.u:unmar,CHARLS,r3iwstat,r3iwstat:w3 r interview status
,.v:sp nr,CHARLS,r3iwstat,r3iwstat:w3 r interview status
0,0.inap.,CHARLS,r4iwstat,r4iwstat:w4 r interview status
1,"1.resp, alive",CHARLS,r4iwstat,r4iwstat:w4 r interview status
4,"4.nr, alive",CHARLS,r4iwstat,r4iwstat:w4 r interview status
5,"5.nr, died this wv",CHARLS,r4iwstat,r4iwstat:w4 r interview status
6,"6.nr, died prev wv",CHARLS,r4iwstat,r4iwstat:w4 r interview status
7,"7.nr, dropped from samp",CHARLS,r4iwstat,r4iwstat:w4 r interview status
9,"9.nr, dk if alive or died",CHARLS,r4iwstat,r4iwstat:w4 r interview status
,.d:dk,CHARLS,r4iwstat,r4iwstat:w4 r interview status
,.m:missing,CHARLS,r4iwstat,r4iwstat:w4 r interview status
,.p:proxy,CHARLS,r4iwstat,r4iwstat:w4 r interview status
,.r:refuse,CHARLS,r4iwstat,r4iwstat:w4 r interview status
,.s:skip,CHARLS,r4iwstat,r4iwstat:w4 r interview status
,.u:unmar,CHARLS,r4iwstat,r4iwstat:w4 r interview status
,.v:sp nr,CHARLS,r4iwstat,r4iwstat:w4 r interview status
0,0.inap.,CHARLS,s1iwstat,s1iwstat:w1 s interview status
1,"1.resp, alive",CHARLS,s1iwstat,s1iwstat:w1 s interview status
4,"4.nr, alive",CHARLS,s1iwstat,s1iwstat:w1 s interview status
5,"5.nr, died this wv",CHARLS,s1iwstat,s1iwstat:w1 s interview status
6,"6.nr, died prev wv",CHARLS,s1iwstat,s1iwstat:w1 s interview status
7,"7.nr, dropped from samp",CHARLS,s1iwstat,s1iwstat:w1 s interview status
9,"9.nr, dk if alive or died",CHARLS,s1iwstat,s1iwstat:w1 s interview status
,.d:dk,CHARLS,s1iwstat,s1iwstat:w1 s interview status
,.m:missing,CHARLS,s1iwstat,s1iwstat:w1 s interview status
,.p:proxy,CHARLS,s1iwstat,s1iwstat:w1 s interview status
,.r:refuse,CHARLS,s1iwstat,s1iwstat:w1 s interview status
,.s:skip,CHARLS,s1iwstat,s1iwstat:w1 s interview status
,.u:unmar,CHARLS,s1iwstat,s1iwstat:w1 s interview status
,.v:sp nr,CHARLS,s1iwstat,s1iwstat:w1 s interview status
0,0.inap.,CHARLS,s2iwstat,s2iwstat:w2 s interview status
1,"1.resp, alive",CHARLS,s2iwstat,s2iwstat:w2 s interview status
4,"4.nr, alive",CHARLS,s2iwstat,s2iwstat:w2 s interview status
5,"5.nr, died this wv",CHARLS,s2iwstat,s2iwstat:w2 s interview status
6,"6.nr, died prev wv",CHARLS,s2iwstat,s2iwstat:w2 s interview status
7,"7.nr, dropped from samp",CHARLS,s2iwstat,s2iwstat:w2 s interview status
9,"9.nr, dk if alive or died",CHARLS,s2iwstat,s2iwstat:w2 s interview status
,.d:dk,CHARLS,s2iwstat,s2iwstat:w2 s interview status
,.m:missing,CHARLS,s2iwstat,s2iwstat:w2 s interview status
,.p:proxy,CHARLS,s2iwstat,s2iwstat:w2 s interview status
,.r:refuse,CHARLS,s2iwstat,s2iwstat:w2 s interview status
,.s:skip,CHARLS,s2iwstat,s2iwstat:w2 s interview status
,.u:unmar,CHARLS,s2iwstat,s2iwstat:w2 s interview status
,.v:sp nr,CHARLS,s2iwstat,s2iwstat:w2 s interview status
0,0.inap.,CHARLS,s3iwstat,s3iwstat:w3 s interview status
1,"1.resp, alive",CHARLS,s3iwstat,s3iwstat:w3 s interview status
4,"4.nr, alive",CHARLS,s3iwstat,s3iwstat:w3 s interview status
5,"5.nr, died this wv",CHARLS,s3iwstat,s3iwstat:w3 s interview status
6,"6.nr, died prev wv",CHARLS,s3iwstat,s3iwstat:w3 s interview status
7,"7.nr, dropped from samp",CHARLS,s3iwstat,s3iwstat:w3 s interview status
9,"9.nr, dk if alive or died",CHARLS,s3iwstat,s3iwstat:w3 s interview status
,.d:dk,CHARLS,s3iwstat,s3iwstat:w3 s interview status
,.m:missing,CHARLS,s3iwstat,s3iwstat:w3 s interview status
,.p:proxy,CHARLS,s3iwstat,s3iwstat:w3 s interview status
,.r:refuse,CHARLS,s3iwstat,s3iwstat:w3 s interview status
,.s:skip,CHARLS,s3iwstat,s3iwstat:w3 s interview status
,.u:unmar,CHARLS,s3iwstat,s3iwstat:w3 s interview status
,.v:sp nr,CHARLS,s3iwstat,s3iwstat:w3 s interview status
0,0.inap.,CHARLS,s4iwstat,s4iwstat:w4 s interview status
1,"1.resp, alive",CHARLS,s4iwstat,s4iwstat:w4 s interview status
4,"4.nr, alive",CHARLS,s4iwstat,s4iwstat:w4 s interview status
5,"5.nr, died this wv",CHARLS,s4iwstat,s4iwstat:w4 s interview status
6,"6.nr, died prev wv",CHARLS,s4iwstat,s4iwstat:w4 s interview status
7,"7.nr, dropped from samp",CHARLS,s4iwstat,s4iwstat:w4 s interview status
9,"9.nr, dk if alive or died",CHARLS,s4iwstat,s4iwstat:w4 s interview status
,.d:dk,CHARLS,s4iwstat,s4iwstat:w4 s interview status
,.m:missing,CHARLS,s4iwstat,s4iwstat:w4 s interview status
,.p:proxy,CHARLS,s4iwstat,s4iwstat:w4 s interview status
,.r:refuse,CHARLS,s4iwstat,s4iwstat:w4 s interview status
,.s:skip,CHARLS,s4iwstat,s4iwstat:w4 s interview status
,.u:unmar,CHARLS,s4iwstat,s4iwstat:w4 s interview status
,.v:sp nr,CHARLS,s4iwstat,s4iwstat:w4 s interview status
0,0.No,CHARLS,r1chdeathe,r1chdeathe:w1 r ever experienced death of own child
1,1.Yes,CHARLS,r1chdeathe,r1chdeathe:w1 r ever experienced death of own child
,.a:No life history survey,CHARLS,r1chdeathe,r1chdeathe:w1 r ever experienced death of own child
,.d:dk,CHARLS,r1chdeathe,r1chdeathe:w1 r ever experienced death of own child
,.m:missing,CHARLS,r1chdeathe,r1chdeathe:w1 r ever experienced death of own child
,.n:No education before age 16,CHARLS,r1chdeathe,r1chdeathe:w1 r ever experienced death of own child
,.p:proxy,CHARLS,r1chdeathe,r1chdeathe:w1 r ever experienced death of own child
,.r:refuse,CHARLS,r1chdeathe,r1chdeathe:w1 r ever experienced death of own child
,.s:skip,CHARLS,r1chdeathe,r1chdeathe:w1 r ever experienced death of own child
,.u:unmar,CHARLS,r1chdeathe,r1chdeathe:w1 r ever experienced death of own child
,.v:sp nr,CHARLS,r1chdeathe,r1chdeathe:w1 r ever experienced death of own child
,.x:Re-interview respondent,CHARLS,r1chdeathe,r1chdeathe:w1 r ever experienced death of own child
0,0.No,CHARLS,r2chdeathe,r2chdeathe:w2 r ever experienced death of own child
1,1.Yes,CHARLS,r2chdeathe,r2chdeathe:w2 r ever experienced death of own child
,.a:No life history survey,CHARLS,r2chdeathe,r2chdeathe:w2 r ever experienced death of own child
,.d:dk,CHARLS,r2chdeathe,r2chdeathe:w2 r ever experienced death of own child
,.m:missing,CHARLS,r2chdeathe,r2chdeathe:w2 r ever experienced death of own child
,.n:No education before age 16,CHARLS,r2chdeathe,r2chdeathe:w2 r ever experienced death of own child
,.p:proxy,CHARLS,r2chdeathe,r2chdeathe:w2 r ever experienced death of own child
,.r:refuse,CHARLS,r2chdeathe,r2chdeathe:w2 r ever experienced death of own child
,.s:skip,CHARLS,r2chdeathe,r2chdeathe:w2 r ever experienced death of own child
,.u:unmar,CHARLS,r2chdeathe,r2chdeathe:w2 r ever experienced death of own child
,.v:sp nr,CHARLS,r2chdeathe,r2chdeathe:w2 r ever experienced death of own child
,.x:Re-interview respondent,CHARLS,r2chdeathe,r2chdeathe:w2 r ever experienced death of own child
