value,N,cohort,variable
,7368,CHARLS,r2batha
0,17002,CHARLS,r2batha
1,1216,CHARLS,r2batha
,7347,CHARLS,r2beda
0,17192,CHARLS,r2beda
1,1047,CHARLS,r2beda
,7346,CHARLS,r2dressa
0,17299,CHARLS,r2dressa
1,941,CHARLS,r2dressa
,7346,CHARLS,r2eata
0,17819,CHARLS,r2eata
1,421,CHARLS,r2eata
,7278,CHARLS,r2mealsa
0,16622,CHARLS,r2mealsa
1,1686,CHARLS,r2mealsa
,7244,CHARLS,r2medsa
0,17418,CHARLS,r2medsa
1,924,CHARLS,r2medsa
,7343,CHARLS,r2moneya
0,16307,CHARLS,r2moneya
1,1936,CHARLS,r2moneya
,8163,CHARLS,r2phonea
0,15126,CHARLS,r2phonea
1,2297,CHARLS,r2phonea
,7269,CHARLS,r2shopa
0,16749,CHARLS,r2shopa
1,1568,CHARLS,r2shopa
,7348,CHARLS,r2toilta
0,16093,CHARLS,r2toilta
1,2145,CHARLS,r2toilta
,5419,CHARLS,r3batha
0,18627,CHARLS,r3batha
1,1540,CHARLS,r3batha
,5399,CHARLS,r3beda
0,18779,CHARLS,r3beda
1,1408,CHARLS,r3beda
,5394,CHARLS,r3dressa
0,18957,CHARLS,r3dressa
1,1235,CHARLS,r3dressa
,5395,CHARLS,r3eata
0,19660,CHARLS,r3eata
1,531,CHARLS,r3eata
,4740,CHARLS,r3mealsa
0,18902,CHARLS,r3mealsa
1,1944,CHARLS,r3mealsa
,4724,CHARLS,r3medsa
0,19812,CHARLS,r3medsa
1,1050,CHARLS,r3medsa
,4802,CHARLS,r3moneya
0,18598,CHARLS,r3moneya
1,2186,CHARLS,r3moneya
,5582,CHARLS,r3phonea
0,17652,CHARLS,r3phonea
1,2352,CHARLS,r3phonea
,4743,CHARLS,r3shopa
0,19055,CHARLS,r3shopa
1,1788,CHARLS,r3shopa
,5400,CHARLS,r3toilta
0,17518,CHARLS,r3toilta
1,2668,CHARLS,r3toilta
,6132,CHARLS,r4batha
0,17779,CHARLS,r4batha
1,1675,CHARLS,r4batha
,6132,CHARLS,r4beda
0,18043,CHARLS,r4beda
1,1411,CHARLS,r4beda
,6131,CHARLS,r4dressa
0,18076,CHARLS,r4dressa
1,1379,CHARLS,r4dressa
,6132,CHARLS,r4eata
0,18912,CHARLS,r4eata
1,542,CHARLS,r4eata
,5865,CHARLS,r4mealsa
0,17467,CHARLS,r4mealsa
1,2254,CHARLS,r4mealsa
,5865,CHARLS,r4medsa
0,18567,CHARLS,r4medsa
1,1154,CHARLS,r4medsa
,5865,CHARLS,r4moneya
0,17417,CHARLS,r4moneya
1,2304,CHARLS,r4moneya
,7012,CHARLS,r4phonea
0,16480,CHARLS,r4phonea
1,2094,CHARLS,r4phonea
,5865,CHARLS,r4shopa
0,17825,CHARLS,r4shopa
1,1896,CHARLS,r4shopa
,6132,CHARLS,r4toilta
0,17205,CHARLS,r4toilta
1,2249,CHARLS,r4toilta
,14090,ELSA,r10batha
-18,1,ELSA,r10batha
-4,1,ELSA,r10batha
0,6932,ELSA,r10batha
1,655,ELSA,r10batha
,14090,ELSA,r10beda
-18,1,ELSA,r10beda
-4,1,ELSA,r10beda
0,7091,ELSA,r10beda
1,496,ELSA,r10beda
,14090,ELSA,r10dressa
-18,1,ELSA,r10dressa
-4,1,ELSA,r10dressa
0,6577,ELSA,r10dressa
1,1010,ELSA,r10dressa
,14090,ELSA,r10eata
-18,1,ELSA,r10eata
-4,1,ELSA,r10eata
0,7384,ELSA,r10eata
1,203,ELSA,r10eata
,14090,ELSA,r10mealsa
-18,1,ELSA,r10mealsa
-4,1,ELSA,r10mealsa
0,7191,ELSA,r10mealsa
1,396,ELSA,r10mealsa
,14090,ELSA,r10medsa
-18,1,ELSA,r10medsa
-4,1,ELSA,r10medsa
0,7401,ELSA,r10medsa
1,186,ELSA,r10medsa
,14090,ELSA,r10moneya
-18,1,ELSA,r10moneya
-4,1,ELSA,r10moneya
0,7325,ELSA,r10moneya
1,262,ELSA,r10moneya
,14090,ELSA,r10phonea
-18,1,ELSA,r10phonea
-4,1,ELSA,r10phonea
0,7380,ELSA,r10phonea
1,207,ELSA,r10phonea
,14090,ELSA,r10shopa
-18,1,ELSA,r10shopa
-4,1,ELSA,r10shopa
0,6948,ELSA,r10shopa
1,639,ELSA,r10shopa
