cohort,wave,domain,item,variable,available,variable_label
CHARLS,2,ADL,bath,r2batha,TRUE,"r2batha:w2 r Some Diff-Bathing, shower"
CHARLS,2,ADL,bed,r2beda,TRUE,r2beda:w2 r Some Diff-Get in/out bed
CHARLS,2,ADL,dress,r2dressa,TRUE,r2dressa:w2 r Some Diff-Dressing
CHARLS,2,ADL,eat,r2eata,TRUE,r2eata:w2 r Some Diff-Eating
CHARLS,2,ADL,toilet,r2toilta,TRUE,r2toilta:w2 r Some Diff-Using the toilet
CHARLS,2,IADL,meal,r2mealsa,TRUE,r2mealsa:w2 r Some Diff-Prepare hot meal
CHARLS,2,IADL,medication,r2medsa,TRUE,r2medsa:w2 r Some Diff-Take medications
CHARLS,2,IADL,money,r2moneya,TRUE,r2moneya:w2 r Some Diff-Managing money
CHARLS,2,IADL,shopping,r2shopa,TRUE,r2shopa:w2 r Some Diff-Shop for grocery
CHARLS,2,IADL,telephone,r2phonea,TRUE,r2phonea:w2 r Some Diff-Use telephone
CHARLS,3,ADL,bath,r3batha,TRUE,"r3batha:w3 r Some Diff-Bathing, shower"
CHARLS,3,ADL,bed,r3beda,TRUE,r3beda:w3 r Some Diff-Get in/out bed
CHARLS,3,ADL,dress,r3dressa,TRUE,r3dressa:w3 r Some Diff-Dressing
CHARLS,3,ADL,eat,r3eata,TRUE,r3eata:w3 r Some Diff-Eating
CHARLS,3,ADL,toilet,r3toilta,TRUE,r3toilta:w3 r Some Diff-Using the toilet
CHARLS,3,IADL,meal,r3mealsa,TRUE,r3mealsa:w3 r Some Diff-Prepare hot meal
CHARLS,3,IADL,medication,r3medsa,TRUE,r3medsa:w3 r Some Diff-Take medications
CHARLS,3,IADL,money,r3moneya,TRUE,r3moneya:w3 r Some Diff-Managing money
CHARLS,3,IADL,shopping,r3shopa,TRUE,r3shopa:w3 r Some Diff-Shop for grocery
CHARLS,3,IADL,telephone,r3phonea,TRUE,r3phonea:w3 r Some Diff-Use telephone
CHARLS,4,ADL,bath,r4batha,TRUE,"r4batha:w4 r Some Diff-Bathing, shower"
CHARLS,4,ADL,bed,r4beda,TRUE,r4beda:w4 r Some Diff-Get in/out bed
CHARLS,4,ADL,dress,r4dressa,TRUE,r4dressa:w4 r Some Diff-Dressing
CHARLS,4,ADL,eat,r4eata,TRUE,r4eata:w4 r Some Diff-Eating
CHARLS,4,ADL,toilet,r4toilta,TRUE,r4toilta:w4 r Some Diff-Using the toilet
CHARLS,4,IADL,meal,r4mealsa,TRUE,r4mealsa:w4 r Some Diff-Prepare hot meal
CHARLS,4,IADL,medication,r4medsa,TRUE,r4medsa:w4 r Some Diff-Take medications
CHARLS,4,IADL,money,r4moneya,TRUE,r4moneya:w4 r Some Diff-Managing money
CHARLS,4,IADL,shopping,r4shopa,TRUE,r4shopa:w4 r Some Diff-Shop for grocery
CHARLS,4,IADL,telephone,r4phonea,TRUE,r4phonea:w4 r Some Diff-Use telephone
ELSA,1,ADL,bath,r1batha,TRUE,"r1batha:w1 R Some Diff-Bathing, shower"
ELSA,1,ADL,bed,r1beda,TRUE,r1beda:w1 R Some Diff-Get in/out bed
ELSA,1,ADL,dress,r1dressa,TRUE,r1dressa:w1 R Some Diff-Dressing
ELSA,1,ADL,eat,r1eata,TRUE,r1eata:w1 R Some Diff-Eating
ELSA,1,ADL,toilet,r1toilta,TRUE,r1toilta:w1 R Some Diff-Using the toilet
ELSA,1,IADL,meal,r1mealsa,TRUE,r1mealsa:w1 R Some Diff-Prepare hot meal
ELSA,1,IADL,medication,r1medsa,TRUE,r1medsa:w1 R Some Diff-Take medications
ELSA,1,IADL,money,r1moneya,TRUE,r1moneya:w1 R Some Diff-Managing money
ELSA,1,IADL,shopping,r1shopa,TRUE,r1shopa:w1 R Some Diff-Shop for grocery
ELSA,1,IADL,telephone,r1phonea,TRUE,r1phonea:w1 R Some Diff-Use a telephone
ELSA,2,ADL,bath,r2batha,TRUE,"r2batha:w2 R Some Diff-Bathing, shower"
ELSA,2,ADL,bed,r2beda,TRUE,r2beda:w2 R Some Diff-Get in/out bed
ELSA,2,ADL,dress,r2dressa,TRUE,r2dressa:w2 R Some Diff-Dressing
ELSA,2,ADL,eat,r2eata,TRUE,r2eata:w2 R Some Diff-Eating
ELSA,2,ADL,toilet,r2toilta,TRUE,r2toilta:w2 R Some Diff-Using the toilet
ELSA,2,IADL,meal,r2mealsa,TRUE,r2mealsa:w2 R Some Diff-Prepare hot meal
ELSA,2,IADL,medication,r2medsa,TRUE,r2medsa:w2 R Some Diff-Take medications
ELSA,2,IADL,money,r2moneya,TRUE,r2moneya:w2 R Some Diff-Managing money
ELSA,2,IADL,shopping,r2shopa,TRUE,r2shopa:w2 R Some Diff-Shop for grocery
ELSA,2,IADL,telephone,r2phonea,TRUE,r2phonea:w2 R Some Diff-Use a telephone
ELSA,3,ADL,bath,r3batha,TRUE,"r3batha:w3 R Some Diff-Bathing, shower"
ELSA,3,ADL,bed,r3beda,TRUE,r3beda:w3 R Some Diff-Get in/out bed
ELSA,3,ADL,dress,r3dressa,TRUE,r3dressa:w3 R Some Diff-Dressing
ELSA,3,ADL,eat,r3eata,TRUE,r3eata:w3 R Some Diff-Eating
ELSA,3,ADL,toilet,r3toilta,TRUE,r3toilta:w3 R Some Diff-Using the toilet
ELSA,3,IADL,meal,r3mealsa,TRUE,r3mealsa:w3 R Some Diff-Prepare hot meal
ELSA,3,IADL,medication,r3medsa,TRUE,r3medsa:w3 R Some Diff-Take medications
ELSA,3,IADL,money,r3moneya,TRUE,r3moneya:w3 R Some Diff-Managing money
ELSA,3,IADL,shopping,r3shopa,TRUE,r3shopa:w3 R Some Diff-Shop for grocery
ELSA,3,IADL,telephone,r3phonea,TRUE,r3phonea:w3 R Some Diff-Use a telephone
ELSA,4,ADL,bath,r4batha,TRUE,"r4batha:w4 R Some Diff-Bathing, shower"
ELSA,4,ADL,bed,r4beda,TRUE,r4beda:w4 R Some Diff-Get in/out bed
ELSA,4,ADL,dress,r4dressa,TRUE,r4dressa:w4 R Some Diff-Dressing
ELSA,4,ADL,eat,r4eata,TRUE,r4eata:w4 R Some Diff-Eating
ELSA,4,ADL,toilet,r4toilta,TRUE,r4toilta:w4 R Some Diff-Using the toilet
ELSA,4,IADL,meal,r4mealsa,TRUE,r4mealsa:w4 R Some Diff-Prepare hot meal
ELSA,4,IADL,medication,r4medsa,TRUE,r4medsa:w4 R Some Diff-Take medications
ELSA,4,IADL,money,r4moneya,TRUE,r4moneya:w4 R Some Diff-Managing money
ELSA,4,IADL,shopping,r4shopa,TRUE,r4shopa:w4 R Some Diff-Shop for grocery
ELSA,4,IADL,telephone,r4phonea,TRUE,r4phonea:w4 R Some Diff-Use a telephone
ELSA,5,ADL,bath,r5batha,TRUE,"r5batha:w5 R Some Diff-Bathing, shower"
ELSA,5,ADL,bed,r5beda,TRUE,r5beda:w5 R Some Diff-Get in/out bed
ELSA,5,ADL,dress,r5dressa,TRUE,r5dressa:w5 R Some Diff-Dressing
ELSA,5,ADL,eat,r5eata,TRUE,r5eata:w5 R Some Diff-Eating
ELSA,5,ADL,toilet,r5toilta,TRUE,r5toilta:w5 R Some Diff-Using the toilet
ELSA,5,IADL,meal,r5mealsa,TRUE,r5mealsa:w5 R Some Diff-Prepare hot meal
ELSA,5,IADL,medication,r5medsa,TRUE,r5medsa:w5 R Some Diff-Take medications
ELSA,5,IADL,money,r5moneya,TRUE,r5moneya:w5 R Some Diff-Managing money
ELSA,5,IADL,shopping,r5shopa,TRUE,r5shopa:w5 R Some Diff-Shop for grocery
ELSA,5,IADL,telephone,r5phonea,TRUE,r5phonea:w5 R Some Diff-Use a telephone
ELSA,6,ADL,bath,r6batha,TRUE,"r6batha:w6 R Some Diff-Bathing, shower"
ELSA,6,ADL,bed,r6beda,TRUE,r6beda:w6 R Some Diff-Get in/out bed
ELSA,6,ADL,dress,r6dressa,TRUE,r6dressa:w6 R Some Diff-Dressing
ELSA,6,ADL,eat,r6eata,TRUE,r6eata:w6 R Some Diff-Eating
