variable,class
cohort,character
country,character
person_id,character
prior_wave,numeric
landmark_wave,numeric
outcome_wave,numeric
prior_year,numeric
landmark_year,numeric
outcome_year,numeric
history_horizon_years,numeric
prediction_horizon_years,numeric
primary_horizon,logical
analysis_set,character
outcome_observed,integer
future_inw,integer
future_iwstat,numeric
death_year,numeric
death_before_assessment,integer
death_status_evidence,integer
death_year_evidence,integer
followup_status,character
composite_known,integer
composite_event,integer
event_any,integer
event_adl,integer
event_iadl,integer
event_two_plus,integer
next_adl_count,numeric
next_iadl_count,numeric
age,numeric
female,numeric
education3,numeric
partnered_prev,numeric
partnered_t,numeric
srh_prev,numeric
srh_t,numeric
mobility3_prev,numeric
mobility3_t,numeric
chronic5_prev,numeric
chronic5_t,numeric
smoking_prev,numeric
smoking_t,numeric
depression_prop_prev,numeric
depression_prop_t,numeric
proxy_t,numeric
respondent_weight_t,numeric
delta_partnered,numeric
delta_srh,numeric
delta_mobility3,numeric
new_chronic5,numeric
chronic5_decrease_flag,integer
delta_smoking,numeric
delta_depression_prop,numeric
sequence_count_person,integer
person_equal_weight,numeric
first_eligible_sequence,integer
