riskset_type,heldout,model,development_records,development_persons,development_events,heldout_riskset_records,heldout_observed_records,heldout_persons,heldout_events,coefficient_count,missing_indicator_count,converged
two_wave,CHARLS,M0,122349,33817,12213,4415,3915,4415,787,3,0,TRUE
two_wave,CHARLS,M1,122349,33817,12213,4415,3915,4415,787,18,7,TRUE
two_wave,HRS,M0,42323,17716,4934,96635,83941,22754,8066,3,0,TRUE
two_wave,HRS,M1,42323,17716,4934,96635,83941,22754,8066,18,7,TRUE
two_wave,ELSA,M0,95653,29123,10025,35595,30611,9926,2975,3,0,TRUE
two_wave,ELSA,M1,95653,29123,10025,35595,30611,9926,2975,18,7,TRUE
two_wave,MHAS,M0,118467,32540,11828,9960,7797,6645,1172,3,0,TRUE
two_wave,MHAS,M1,118467,32540,11828,9960,7797,6645,1172,18,7,TRUE
one_wave,CHARLS,M0,164153,46120,20844,11554,10087,7957,2432,3,0,TRUE
one_wave,CHARLS,M1,164153,46120,20844,11554,10087,7957,2432,18,7,TRUE
one_wave,HRS,M0,68726,28624,10632,124620,105514,27881,12644,3,0,TRUE
one_wave,HRS,M1,68726,28624,10632,124620,105514,27881,12644,18,7,TRUE
one_wave,ELSA,M0,134586,42375,18286,47194,39654,12620,4990,3,0,TRUE
one_wave,ELSA,M1,134586,42375,18286,47194,39654,12620,4990,18,7,TRUE
one_wave,MHAS,M0,155255,42010,20066,24405,18985,13439,3210,3,0,TRUE
one_wave,MHAS,M1,155255,42010,20066,24405,18985,13439,3210,18,7,TRUE
