riskset_type,heldout,model,term,estimate
one_wave,CHARLS,M0,(Intercept),-6.56396841007656
one_wave,CHARLS,M0,age10,0.642245497932232
one_wave,CHARLS,M0,female,0.316315898419388
one_wave,CHARLS,M1,(Intercept),-8.00847995272396
one_wave,CHARLS,M1,age10,0.598131865293493
one_wave,CHARLS,M1,chronic5_t,0.205845243371556
one_wave,CHARLS,M1,depression_prop_t,0.728296288328534
one_wave,CHARLS,M1,education3,-0.134473363463899
one_wave,CHARLS,M1,female,0.000396969464623693
one_wave,CHARLS,M1,miss_chronic5_t,-0.0161847156136785
one_wave,CHARLS,M1,miss_depression_prop_t,0.240392914947806
one_wave,CHARLS,M1,miss_education3,0.252049167640214
one_wave,CHARLS,M1,miss_mobility3_t,0.753194006981645
one_wave,CHARLS,M1,miss_partnered_t,-0.295676303410232
one_wave,CHARLS,M1,miss_smoking_t,0.0737516511401252
one_wave,CHARLS,M1,miss_srh_t,0.0332253396998265
one_wave,CHARLS,M1,mobility3_t,0.419987491558666
one_wave,CHARLS,M1,partnered_t,-0.129404809350463
one_wave,CHARLS,M1,prediction_horizon_years,0.152643131152876
one_wave,CHARLS,M1,smoking_t,0.165600622764084
one_wave,CHARLS,M1,srh_t,0.315671907865641
one_wave,ELSA,M0,(Intercept),-4.83593864846774
one_wave,ELSA,M0,age10,0.44179543793501
one_wave,ELSA,M0,female,0.400565995521278
one_wave,ELSA,M1,(Intercept),-6.7135702857574
one_wave,ELSA,M1,age10,0.49231753994345
one_wave,ELSA,M1,chronic5_t,0.144094610843133
one_wave,ELSA,M1,depression_prop_t,0.58564990691519
one_wave,ELSA,M1,education3,-0.40898708758198
one_wave,ELSA,M1,female,0.262786495074048
one_wave,ELSA,M1,miss_chronic5_t,0.274833900887672
one_wave,ELSA,M1,miss_depression_prop_t,0.43963252026718
one_wave,ELSA,M1,miss_education3,-0.179408949158436
one_wave,ELSA,M1,miss_mobility3_t,0.527253283073689
one_wave,ELSA,M1,miss_partnered_t,-0.132278696222639
one_wave,ELSA,M1,miss_smoking_t,0.371408102013709
one_wave,ELSA,M1,miss_srh_t,0.728260203879855
one_wave,ELSA,M1,mobility3_t,0.341097580396605
one_wave,ELSA,M1,partnered_t,0.0291998114837126
one_wave,ELSA,M1,prediction_horizon_years,0.0583458635913004
one_wave,ELSA,M1,smoking_t,0.151524262984751
one_wave,ELSA,M1,srh_t,0.371555323484684
one_wave,HRS,M0,(Intercept),-5.44406937534776
one_wave,HRS,M0,age10,0.531521977808531
one_wave,HRS,M0,female,0.433437118516435
one_wave,HRS,M1,(Intercept),-6.77259057380613
one_wave,HRS,M1,age10,0.52569195885321
one_wave,HRS,M1,chronic5_t,0.19630638419806
one_wave,HRS,M1,depression_prop_t,0.53667668595563
one_wave,HRS,M1,education3,-0.305330072365128
one_wave,HRS,M1,female,0.22252509994385
one_wave,HRS,M1,miss_chronic5_t,0.280493856959039
one_wave,HRS,M1,miss_depression_prop_t,0.601017687363096
one_wave,HRS,M1,miss_education3,-0.32807043918643
one_wave,HRS,M1,miss_mobility3_t,0.268848138045145
one_wave,HRS,M1,miss_partnered_t,-8.88462225664274
one_wave,HRS,M1,miss_smoking_t,0.279186154445989
one_wave,HRS,M1,miss_srh_t,0.134119040820686
one_wave,HRS,M1,mobility3_t,0.36871465188347
one_wave,HRS,M1,partnered_t,0.0286801519059235
one_wave,HRS,M1,prediction_horizon_years,-0.0267803746010155
one_wave,HRS,M1,smoking_t,0.152265413109639
one_wave,HRS,M1,srh_t,0.355555706359127
one_wave,MHAS,M0,(Intercept),-4.85588592662137
one_wave,MHAS,M0,age10,0.439641250573707
one_wave,MHAS,M0,female,0.255804037027794
one_wave,MHAS,M1,(Intercept),-6.9125704670237
one_wave,MHAS,M1,age10,0.478000086051609
one_wave,MHAS,M1,chronic5_t,0.0987709763974711
one_wave,MHAS,M1,depression_prop_t,1.06874862386877
one_wave,MHAS,M1,education3,-0.433269163215663
one_wave,MHAS,M1,female,0.0866790878176709
one_wave,MHAS,M1,miss_chronic5_t,0.0881553328521529
one_wave,MHAS,M1,miss_depression_prop_t,0.393636539788624
one_wave,MHAS,M1,miss_education3,0.113379108357909
one_wave,MHAS,M1,miss_mobility3_t,0.593663840311195
one_wave,MHAS,M1,miss_partnered_t,-0.470076537900238
one_wave,MHAS,M1,miss_smoking_t,0.130187861432638
one_wave,MHAS,M1,miss_srh_t,0.352835581115466
one_wave,MHAS,M1,mobility3_t,0.429275826981383
one_wave,MHAS,M1,partnered_t,-0.0438555584958466
one_wave,MHAS,M1,prediction_horizon_years,0.276870330271422
