riskset_type,heldout,model,feature,training_median,missing_indicator
two_wave,CHARLS,M0,age10,6.9,FALSE
two_wave,CHARLS,M0,female,1,FALSE
two_wave,CHARLS,M1,age10,6.9,FALSE
two_wave,CHARLS,M1,female,1,FALSE
two_wave,CHARLS,M1,education3,2,TRUE
two_wave,CHARLS,M1,partnered_t,1,TRUE
two_wave,CHARLS,M1,srh_t,3,TRUE
two_wave,CHARLS,M1,mobility3_t,0,TRUE
two_wave,CHARLS,M1,chronic5_t,1,TRUE
two_wave,CHARLS,M1,smoking_t,0,TRUE
two_wave,CHARLS,M1,depression_prop_t,0,TRUE
two_wave,CHARLS,M1,prediction_horizon_years,2,FALSE
two_wave,HRS,M0,age10,6.8,FALSE
two_wave,HRS,M0,female,1,FALSE
two_wave,HRS,M1,age10,6.8,FALSE
two_wave,HRS,M1,female,1,FALSE
two_wave,HRS,M1,education3,2,TRUE
two_wave,HRS,M1,partnered_t,1,TRUE
two_wave,HRS,M1,srh_t,3,TRUE
two_wave,HRS,M1,mobility3_t,0,TRUE
two_wave,HRS,M1,chronic5_t,1,TRUE
two_wave,HRS,M1,smoking_t,0,TRUE
two_wave,HRS,M1,depression_prop_t,0.125,TRUE
two_wave,HRS,M1,prediction_horizon_years,2,FALSE
two_wave,ELSA,M0,age10,6.9,FALSE
two_wave,ELSA,M0,female,1,FALSE
two_wave,ELSA,M1,age10,6.9,FALSE
two_wave,ELSA,M1,female,1,FALSE
two_wave,ELSA,M1,education3,2,TRUE
two_wave,ELSA,M1,partnered_t,1,TRUE
two_wave,ELSA,M1,srh_t,3,TRUE
two_wave,ELSA,M1,mobility3_t,0,TRUE
two_wave,ELSA,M1,chronic5_t,1,TRUE
two_wave,ELSA,M1,smoking_t,0,TRUE
two_wave,ELSA,M1,depression_prop_t,0.1,TRUE
two_wave,ELSA,M1,prediction_horizon_years,2,FALSE
two_wave,MHAS,M0,age10,6.9,FALSE
two_wave,MHAS,M0,female,1,FALSE
two_wave,MHAS,M1,age10,6.9,FALSE
two_wave,MHAS,M1,female,1,FALSE
two_wave,MHAS,M1,education3,2,TRUE
two_wave,MHAS,M1,partnered_t,1,TRUE
two_wave,MHAS,M1,srh_t,3,TRUE
two_wave,MHAS,M1,mobility3_t,0,TRUE
two_wave,MHAS,M1,chronic5_t,1,TRUE
two_wave,MHAS,M1,smoking_t,0,TRUE
two_wave,MHAS,M1,depression_prop_t,0,TRUE
two_wave,MHAS,M1,prediction_horizon_years,2,FALSE
one_wave,CHARLS,M0,age10,6.9,FALSE
one_wave,CHARLS,M0,female,1,FALSE
one_wave,CHARLS,M1,age10,6.9,FALSE
one_wave,CHARLS,M1,female,1,FALSE
one_wave,CHARLS,M1,education3,2,TRUE
one_wave,CHARLS,M1,partnered_t,1,TRUE
one_wave,CHARLS,M1,srh_t,3,TRUE
one_wave,CHARLS,M1,mobility3_t,0,TRUE
one_wave,CHARLS,M1,chronic5_t,1,TRUE
one_wave,CHARLS,M1,smoking_t,0,TRUE
one_wave,CHARLS,M1,depression_prop_t,0.125,TRUE
one_wave,CHARLS,M1,prediction_horizon_years,2,FALSE
one_wave,HRS,M0,age10,6.8,FALSE
one_wave,HRS,M0,female,1,FALSE
one_wave,HRS,M1,age10,6.8,FALSE
one_wave,HRS,M1,female,1,FALSE
one_wave,HRS,M1,education3,1,TRUE
one_wave,HRS,M1,partnered_t,1,TRUE
one_wave,HRS,M1,srh_t,3,TRUE
one_wave,HRS,M1,mobility3_t,0,TRUE
one_wave,HRS,M1,chronic5_t,1,TRUE
one_wave,HRS,M1,smoking_t,0,TRUE
one_wave,HRS,M1,depression_prop_t,0.125,TRUE
one_wave,HRS,M1,prediction_horizon_years,2,FALSE
one_wave,ELSA,M0,age10,6.9,FALSE
one_wave,ELSA,M0,female,1,FALSE
one_wave,ELSA,M1,age10,6.9,FALSE
one_wave,ELSA,M1,female,1,FALSE
one_wave,ELSA,M1,education3,2,TRUE
one_wave,ELSA,M1,partnered_t,1,TRUE
one_wave,ELSA,M1,srh_t,3,TRUE
one_wave,ELSA,M1,mobility3_t,0,TRUE
one_wave,ELSA,M1,chronic5_t,1,TRUE
one_wave,ELSA,M1,smoking_t,0,TRUE
one_wave,ELSA,M1,depression_prop_t,0.125,TRUE
one_wave,ELSA,M1,prediction_horizon_years,2,FALSE
one_wave,MHAS,M0,age10,6.9,FALSE
one_wave,MHAS,M0,female,1,FALSE
one_wave,MHAS,M1,age10,6.9,FALSE
one_wave,MHAS,M1,female,1,FALSE
one_wave,MHAS,M1,education3,2,TRUE
one_wave,MHAS,M1,partnered_t,1,TRUE
one_wave,MHAS,M1,srh_t,3,TRUE
one_wave,MHAS,M1,mobility3_t,0,TRUE
one_wave,MHAS,M1,chronic5_t,1,TRUE
one_wave,MHAS,M1,smoking_t,0,TRUE
one_wave,MHAS,M1,depression_prop_t,0.1,TRUE
one_wave,MHAS,M1,prediction_horizon_years,2,FALSE
