riskset_type,heldout,model,method,records,persons,events,event_rate,mean_prediction,brier,calibration_intercept,calibration_slope,fitted_target_intercept,fitted_target_slope,raw_brier,delta_brier_vs_raw
two_wave,CHARLS,M0,raw_untouched,3915,3915,787,0.201021711366539,0.0927781684888824,0.168590991875142,0.925050959669497,0.926584481975152,0,1,0.168590991875142,0
two_wave,CHARLS,M0,target_intercept_oracle,3915,3915,787,0.201021711366539,0.201021712555932,0.15619675199672,4.43489639484048e-15,,0.925050959669497,1,0.168590991875142,-0.0123942398784218
two_wave,CHARLS,M0,target_intercept_slope_oracle,3915,3915,787,0.201021711366539,0.201021711366557,0.156155830459349,-1.16097089673988e-13,0.999999999999975,0.759009424915715,0.926584481975152,0.168590991875142,-0.0124351614157937
two_wave,CHARLS,M1,raw_untouched,3915,3915,787,0.201021711366539,0.1116797093589,0.158925810626642,0.746403411925204,0.854529074204939,0,1,0.158925810626642,0
two_wave,CHARLS,M1,target_intercept_oracle,3915,3915,787,0.201021711366539,0.201021711366542,0.150458932694021,2.94756279827012e-15,,0.746403411925204,1,0.158925810626642,-0.00846687793262096
two_wave,CHARLS,M1,target_intercept_slope_oracle,3915,3915,787,0.201021711366539,0.201021711376344,0.150364601409743,1.50804833371695e-08,1,0.452344173145298,0.854529074204939,0.158925810626642,-0.00856120921689918
two_wave,HRS,M0,raw_untouched,83941,20016,8066,0.0960913022241813,0.170640797253956,0.0904063406292179,-0.677216827219052,1.11135401623655,0,1,0.0904063406292179,0
two_wave,HRS,M0,target_intercept_oracle,83941,20016,8066,0.0960913022241813,0.0960913022241968,0.0845294562156819,-1.69191406116473e-13,,-0.677216827219052,1,0.0904063406292179,-0.00587688441353594
two_wave,HRS,M0,target_intercept_slope_oracle,83941,20016,8066,0.0960913022241813,0.0960913022266182,0.0844554576773517,-2.87316104349537e-11,1.00000000000029,-0.513090428406983,1.11135401623655,0.0904063406292179,-0.00595088295186619
two_wave,HRS,M1,raw_untouched,83941,20016,8066,0.0960913022241813,0.114880828065764,0.0800976233919158,-0.215336162848706,1.10637240045333,0,1,0.0800976233919158,0
two_wave,HRS,M1,target_intercept_oracle,83941,20016,8066,0.0960913022241813,0.0960913022243354,0.0797919656948489,2.9777950194871e-16,,-0.215336162848706,1,0.0800976233919158,-0.000305657697066891
two_wave,HRS,M1,target_intercept_slope_oracle,83941,20016,8066,0.0960913022241813,0.0960913022559498,0.0797618429699158,-3.94250412244904e-10,1.00003379352079,-0.0284269301723839,1.10637240045333,0.0800976233919158,-0.000335780422000012
two_wave,ELSA,M0,raw_untouched,30611,8609,2975,0.0971872856162817,0.153739643729839,0.088189018647021,-0.531588448908244,1.4769405333867,0,1,0.088189018647021,0
two_wave,ELSA,M0,target_intercept_oracle,30611,8609,2975,0.0971872856162817,0.0971872856162825,0.085300531254169,-4.67130942509049e-15,,-0.531588448908244,1,0.088189018647021,-0.00288848739285198
two_wave,ELSA,M0,target_intercept_slope_oracle,30611,8609,2975,0.0971872856162817,0.0971872856192946,0.0848021343847321,-3.53474705892028e-11,0.999999999999931,0.240559128790383,1.4769405333867,0.088189018647021,-0.00338688426228879
two_wave,ELSA,M1,raw_untouched,30611,8609,2975,0.0971872856162817,0.0815988936364047,0.080501842230272,0.206728404732288,1.10193581140399,0,1,0.080501842230272,0
two_wave,ELSA,M1,target_intercept_oracle,30611,8609,2975,0.0971872856162817,0.0971872856163793,0.079980568507253,2.78668475420214e-15,,0.206728404732288,1,0.080501842230272,-0.000521273723018939
two_wave,ELSA,M1,target_intercept_slope_oracle,30611,8609,2975,0.0971872856162817,0.097187286535758,0.079942974082953,-1.15389351340046e-08,0.999999999999987,0.427470398252811,1.10193581140399,0.080501842230272,-0.000558868147319008
two_wave,MHAS,M0,raw_untouched,7797,5192,1172,0.150314223419264,0.130624832824907,0.124534846750913,0.165204027504546,1.69599612197365,0,1,0.124534846750913,0
two_wave,MHAS,M0,target_intercept_oracle,7797,5192,1172,0.150314223419264,0.150314223419275,0.123893275020792,2.92551680264632e-15,,0.165204027504546,1,0.124534846750913,-0.000641571730121165
two_wave,MHAS,M0,target_intercept_slope_oracle,7797,5192,1172,0.150314223419264,0.150314223849752,0.123008470357744,-3.48792348464975e-09,0.999999999999966,1.45143556765443,1.69599612197365,0.124534846750913,-0.00152637639316888
two_wave,MHAS,M1,raw_untouched,7797,5192,1172,0.150314223419264,0.261722795755076,0.135675176373238,-0.786268803195446,0.833863462086239,0,1,0.135675176373238,0
two_wave,MHAS,M1,target_intercept_oracle,7797,5192,1172,0.150314223419264,0.150314223900817,0.119688862569429,-8.45627462159105e-16,,-0.786268803195446,1,0.135675176373238,-0.0159863138038095
two_wave,MHAS,M1,target_intercept_slope_oracle,7797,5192,1172,0.150314223419264,0.150314223419276,0.119168453580133,6.33363215582604e-10,1,-0.912352268162922,0.833863462086239,0.135675176373238,-0.0165067227931047
one_wave,CHARLS,M0,raw_untouched,10087,6923,2432,0.24110240904134,0.11530038146588,0.194065761832506,0.918642809121587,0.931498604048603,0,1,0.194065761832506,0
one_wave,CHARLS,M0,target_intercept_oracle,10087,6923,2432,0.24110240904134,0.24110240904135,0.177476717879335,-1.85455608638093e-14,,0.918642809121587,1,0.194065761832506,-0.0165890439531713
one_wave,CHARLS,M0,target_intercept_slope_oracle,10087,6923,2432,0.24110240904134,0.241102409041371,0.177428254495931,-1.07784820776552e-13,0.999999999999979,0.77961021574388,0.931498604048603,0.194065761832506,-0.0166375073365758
one_wave,CHARLS,M1,raw_untouched,10087,6923,2432,0.24110240904134,0.130903045005279,0.180921395726867,0.815387289578751,0.944866606955781,0,1,0.180921395726867,0
one_wave,CHARLS,M1,target_intercept_oracle,10087,6923,2432,0.24110240904134,0.241102409054509,0.167140804286573,7.82697051244287e-15,,0.815387289578751,1,0.180921395726867,-0.0137805914402944
one_wave,CHARLS,M1,target_intercept_slope_oracle,10087,6923,2432,0.24110240904134,0.241102409041429,0.167112646469702,3.3267085094922e-14,1,0.712433091761024,0.944866606955781,0.180921395726867,-0.0138087492571656
one_wave,HRS,M0,raw_untouched,105514,24419,12644,0.119832439297155,0.202093467359379,0.109922694434145,-0.639823518681182,1.00573986901025,0,1,0.109922694434145,0
one_wave,HRS,M0,target_intercept_oracle,105514,24419,12644,0.119832439297155,0.119832439663748,0.102575516849994,-2.14844902312795e-14,,-0.639823518681182,1,0.109922694434145,-0.00734717758415095
one_wave,HRS,M0,target_intercept_slope_oracle,105514,24419,12644,0.119832439297155,0.1198324392972,0.102572175729886,3.6588723213933e-09,1.00000000000031,-0.632503089724318,1.00573986901025,0.109922694434145,-0.00735051870425854
one_wave,HRS,M1,raw_untouched,105514,24419,12644,0.119832439297155,0.157126020112507,0.0970448186645773,-0.351419769755335,1.01492623193322,0,1,0.0970448186645773,0
one_wave,HRS,M1,target_intercept_oracle,105514,24419,12644,0.119832439297155,0.119832439297156,0.0952600565638105,1.22055058134979e-14,,-0.351419769755335,1,0.0970448186645773,-0.00178476210076674
one_wave,HRS,M1,target_intercept_slope_oracle,105514,24419,12644,0.119832439297155,0.119832439468991,0.095268424776094,-1.81120968855182e-09,1.00000000000001,-0.330982459112382,1.01492623193322,0.0970448186645773,-0.00177639388848332
one_wave,ELSA,M0,raw_untouched,39654,10668,4990,0.125838503051395,0.182764970895621,0.10942955871143,-0.449267416029654,1.37796212045626,0,1,0.10942955871143,0
one_wave,ELSA,M0,target_intercept_oracle,39654,10668,4990,0.125838503051395,0.125838503098081,0.10647388814938,4.96925416834545e-14,,-0.449267416029654,1,0.10942955871143,-0.00295567056205015
one_wave,ELSA,M0,target_intercept_slope_oracle,39654,10668,4990,0.125838503051395,0.125838503051414,0.105977364941036,2.20266387511633e-09,1.00000000000007,0.0867943116630626,1.37796212045626,0.10942955871143,-0.00345219377039355
one_wave,ELSA,M1,raw_untouched,39654,10668,4990,0.125838503051395,0.113189131649432,0.0978012739394776,0.134530314814532,1.04565145500905,0,1,0.0978012739394776,0
one_wave,ELSA,M1,target_intercept_oracle,39654,10668,4990,0.125838503051395,0.125838503051395,0.0974897142950298,1.33549804978617e-15,,0.134530314814532,1,0.0978012739394776,-0.000311559644447817
one_wave,ELSA,M1,target_intercept_slope_oracle,39654,10668,4990,0.125838503051395,0.125838503104976,0.0974976850211129,-5.5245537226945e-10,0.999999999999979,0.216453707425763,1.04565145500905,0.0978012739394776,-0.000303588918364753
one_wave,MHAS,M0,raw_untouched,18985,11033,3210,0.169080853305241,0.159067122713559,0.135620221603707,0.0740594857975918,1.74493985135423,0,1,0.135620221603707,0
one_wave,MHAS,M0,target_intercept_oracle,18985,11033,3210,0.169080853305241,0.169080853422763,0.135379461473283,-2.01461761107127e-15,,0.0740594857975918,1,0.135620221603707,-0.000240760130423845
one_wave,MHAS,M0,target_intercept_slope_oracle,18985,11033,3210,0.169080853305241,0.169080853353076,0.134102908106895,-3.56352623949226e-10,0.999999999999966,1.27803835054374,1.74493985135423,0.135620221603707,-0.00151731349681128
one_wave,MHAS,M1,raw_untouched,18985,11033,3210,0.169080853305241,0.28118132084725,0.143524451713636,-0.757150803473556,0.874054491450365,0,1,0.143524451713636,0
one_wave,MHAS,M1,target_intercept_oracle,18985,11033,3210,0.169080853305241,0.169080853460477,0.127500939903651,-2.32490413020525e-15,,-0.757150803473556,1,0.143524451713636,-0.0160235118099843
one_wave,MHAS,M1,target_intercept_slope_oracle,18985,11033,3210,0.169080853305241,0.169080853305259,0.127246161978497,2.30506702092127e-10,0.999999999999989,-0.836192250185139,0.874054491450365,0.143524451713636,-0.0162782897351384
