cohort,method,threshold,outer_splits,net_benefit_median,net_benefit_lower_95_outer,net_benefit_upper_95_outer,delta_net_benefit_vs_raw_median,proportion_delta_net_benefit_ge_0
CHARLS,intercept_and_slope_full_pool,0.05,30,0.15759225650332725,0.14566360825435234,0.17988421724810108,0.01043557168784029,1.0
CHARLS,intercept_and_slope_full_pool,0.075,30,0.13605847226536882,0.12382037209623416,0.15952202202202204,0.02065858962410687,1.0
CHARLS,intercept_and_slope_full_pool,0.1,30,0.11015325670498083,0.09570029799914856,0.13226195544203204,0.01944089683553283,1.0
CHARLS,intercept_and_slope_full_pool,0.125,30,0.0881226053639847,0.07562716657544247,0.10904260171501554,0.01742382776865538,1.0
CHARLS,intercept_and_slope_full_pool,0.15,30,0.07084366313575238,0.05873525655472916,0.08748873112463376,0.016152054691608447,1.0
CHARLS,intercept_and_slope_full_pool,0.175,30,0.05666821471419173,0.04359737218932621,0.07128516970470992,0.013303533418475948,1.0
CHARLS,intercept_and_slope_full_pool,0.2,30,0.04781289910600256,0.036298690932311625,0.05990980204342273,0.018119412515964238,1.0
CHARLS,intercept_and_slope_full_pool,0.225,30,0.03894244633955424,0.023124459275738474,0.052888497507518645,0.016417418530877925,1.0
CHARLS,intercept_and_slope_full_pool,0.25,30,0.035014899957428694,0.019737122179650922,0.047296722009365695,0.016602809706257986,1.0
CHARLS,intercept_and_slope_full_pool,0.275,30,0.02838331791958426,0.01648005020478266,0.03799048751486324,0.016052318668252075,1.0
CHARLS,intercept_and_slope_full_pool,0.3,30,0.022304324028461955,0.015469348659003828,0.029431216931216923,0.012634555738004014,1.0
CHARLS,intercept_only_full_pool,0.05,30,0.15814680379108692,0.14585938025139475,0.18068158903004633,0.011023727902130825,1.0
CHARLS,intercept_only_full_pool,0.075,30,0.1322615719167443,0.12191415553484519,0.15511071416243827,0.017258637948293104,1.0
CHARLS,intercept_only_full_pool,0.1,30,0.10919540229885055,0.09536859656591457,0.1307364836100468,0.01876685114233005,1.0
CHARLS,intercept_only_full_pool,0.125,30,0.09017515051997813,0.07559979930669587,0.10498540412333518,0.017560664112388272,1.0
