cohort,method,calibration_fraction_total_persons,outer_splits,outer_tolerance_rate,fit_success_rate_median_across_outer,fit_success_rate_lower_95_outer,fit_success_rate_upper_95_outer,median_calibration_persons_median_across_outer,median_calibration_persons_lower_95_outer,median_calibration_persons_upper_95_outer,median_calibration_records_median_across_outer,median_calibration_records_lower_95_outer,median_calibration_records_upper_95_outer,median_calibration_events_median_across_outer,median_calibration_events_lower_95_outer,median_calibration_events_upper_95_outer,median_calibration_event_persons_median_across_outer,median_calibration_event_persons_lower_95_outer,median_calibration_event_persons_upper_95_outer,median_auc_median_across_outer,median_auc_lower_95_outer,median_auc_upper_95_outer,median_brier_median_across_outer,median_brier_lower_95_outer,median_brier_upper_95_outer,median_delta_brier_vs_raw_median_across_outer,median_delta_brier_vs_raw_lower_95_outer,median_delta_brier_vs_raw_upper_95_outer,median_citl_median_across_outer,median_citl_lower_95_outer,median_citl_upper_95_outer,median_abs_citl_median_across_outer,median_abs_citl_lower_95_outer,median_abs_citl_upper_95_outer,median_slope_median_across_outer,median_slope_lower_95_outer,median_slope_upper_95_outer,median_abs_slope_error_median_across_outer,median_abs_slope_error_lower_95_outer,median_abs_slope_error_upper_95_outer,proportion_abs_citl_le_0_20_median_across_outer,proportion_abs_citl_le_0_20_lower_95_outer,proportion_abs_citl_le_0_20_upper_95_outer,proportion_brier_within_plus_0_001_median_across_outer,proportion_brier_within_plus_0_001_lower_95_outer,proportion_brier_within_plus_0_001_upper_95_outer,proportion_brier_improved_median_across_outer,proportion_brier_improved_lower_95_outer,proportion_brier_improved_upper_95_outer
CHARLS,intercept_and_slope,0.05,30,0.0,1.0,1.0,1.0,195.0,195.0,195.0,195.0,195.0,195.0,39.0,35.725,41.275,39.0,35.725,41.275,0.6599281570827522,0.6394805717363623,0.6851478017459033,0.15066461108237483,0.14502307111574145,0.1628504712712964,-0.007502523581270994,-0.01072422516700344,-0.004272752588571743,-0.009529491205041618,-0.12833860820011703,0.20564856890325003,0.12708651696623405,0.10362491223184055,0.2064111158478196,0.9676447560559527,0.7359445746181432,1.2405273061455215,0.22540330016076646,0.1740786496181224,0.29264840762570304,0.69,0.4745,0.79,1.0,0.9535,1.0,0.99,0.9289999999999999,1.0
CHARLS,intercept_and_slope,0.1,30,0.0,1.0,1.0,1.0,391.0,391.0,391.0,391.0,391.0,391.0,78.0,74.45,81.5,78.0,74.45,81.5,0.6599281570827522,0.6394805717363623,0.6851478017459033,0.15007233898811467,0.14428009943328424,0.16214878346233058,-0.008039370648757684,-0.011425912975969255,-0.004970263208784423,0.007981447060929469,-0.11462417753852254,0.16892358660468496,0.08794748691041124,0.07510987118517035,0.16892358660468496,0.9797586982375595,0.7966669973545212,1.2701751383674875,0.16077382187965242,0.1277438973720472,0.2813264861430739,0.865,0.556,0.93275,1.0,0.9945,1.0,1.0,0.97725,1.0
CHARLS,intercept_and_slope,0.2,30,0.16666666666666666,1.0,1.0,1.0,783.0,783.0,783.0,783.0,783.0,783.0,157.5,146.45,165.0125,157.5,146.45,165.0125,0.6599281570827522,0.6394805717363623,0.6851478017459033,0.1498280236968172,0.14406668287349467,0.16228477125763424,-0.008303851426386892,-0.011289925180665576,-0.005192081207309473,-0.001585548109939832,-0.12363193029810299,0.2021895234772099,0.061346660973718506,0.044527443087087414,0.2021895234772099,0.9828312255115691,0.7708248371957056,1.2517584304696925,0.10779582719102801,0.0825672285028967,0.2930706837393575,0.975,0.49325,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHARLS,intercept_and_slope,0.3,30,0.4666666666666667,1.0,1.0,1.0,1174.0,1174.0,1174.0,1174.0,1174.0,1174.0,237.0,220.9,244.0625,237.0,220.9,244.0625,0.6599281570827522,0.6394805717363623,0.6851478017459033,0.1497036256118881,0.1439727242133599,0.16207469094710997,-0.008382189908568274,-0.011500005491189888,-0.005259087846618527,-0.00406909141802786,-0.11362987322277458,0.1895857003161224,0.04678953465541447,0.03291721680024621,0.1911482897270608,0.9602213927375001,0.786506348687933,1.2485877474540958,0.0869761257528128,0.05134845976949591,0.2896266761783525,1.0,0.54825,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHARLS,intercept_and_slope,0.4,30,0.4666666666666667,1.0,1.0,1.0,1566.0,1566.0,1566.0,1566.0,1566.0,1566.0,316.0,292.8125,327.75,316.0,292.8125,327.75,0.6599281570827522,0.6394805717363623,0.6851478017459033,0.14968569130276962,0.1439919986628913,0.16214353445371144,-0.008416016516161126,-0.011431161984588397,-0.005231595885611256,-0.004850091030471914,-0.12246553681719663,0.19371644797317847,0.03992841978768649,0.022125439202323266,0.19550352467988807,0.96615090234118,0.7857109741703288,1.2527232128683092,0.08871028630135061,0.04055689405207758,0.3005741969195085,1.0,0.5427500000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHARLS,intercept_and_slope,0.5,30,0.4666666666666667,1.0,1.0,1.0,1957.0,1957.0,1957.0,1957.0,1957.0,1957.0,393.5,368.8,408.66249999999997,393.5,368.8,408.66249999999997,0.6599281570827522,0.6394805717363623,0.6851478017459033,0.14966126248488396,0.14394098914151005,0.1620726745801845,-0.008441379632459493,-0.011502021858115328,-0.00535389202862856,-0.004883289281207706,-0.11928473823618652,0.18546452339609176,0.04440198907579885,0.014745784870381012,0.19211651962483844,0.9648374684737885,0.7884237810083898,1.2503687162998494,0.08748471226562693,0.025113106370128896,0.2855374910174399,1.0,0.6105,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHARLS,intercept_and_slope,0.6,30,0.43333333333333335,1.0,1.0,1.0,2349.0,2349.0,2349.0,2349.0,2349.0,2349.0,473.5,440.35,490.84999999999997,473.5,440.35,490.84999999999997,0.6599281570827522,0.6394805717363623,0.6851478017459033,0.14964225354500738,0.14391546638573266,0.1620791886952288,-0.00846556757911919,-0.011495507743071044,-0.005334832308569682,-0.0072954448991353355,-0.1196939802926653,0.19158908059995247,0.044574046496636655,0.006648947577581145,0.19213217772510335,0.961344269931284,0.7880214710365964,1.2543127839914583,0.08212147277184756,0.013779463241517792,0.28899833816170706,1.0,0.7250000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHARLS,intercept_only,0.05,30,0.0,1.0,1.0,1.0,195.0,195.0,195.0,195.0,195.0,195.0,39.0,35.725,41.275,39.0,35.725,41.275,0.6599281570827522,0.6394805717363623,0.6851478017459033,0.15003429984080294,0.14433645129336406,0.16202184127215527,-0.008258427456732512,-0.011552855166144575,-0.005185672490631173,-0.006422832440561939,-0.1276132587218368,0.1991908317858345,0.126052411269181,0.1059259896118981,0.20222731997678436,0.8336349177744542,0.7381476121392276,0.9731962964175237,0.16636508222554575,0.03141642207058749,0.26185238786077225,0.69,0.49175,0.7927500000000001,1.0,0.99,1.0,1.0,0.98,1.0
CHARLS,intercept_only,0.1,30,0.6666666666666666,1.0,1.0,1.0,391.0,391.0,391.0,391.0,391.0,391.0,78.0,74.45,81.5,78.0,74.45,81.5,0.6599281570827522,0.6394805717363623,0.6851478017459033,0.14987398744187092,0.14388950893344477,0.16165689209900183,-0.008436269886714656,-0.01191780433929801,-0.005136723024758038,0.006634520136869833,-0.11297484016770203,0.16567543042402255,0.08988202885251732,0.0731487384338051,0.1708263243767985,0.8336349177744542,0.7381476121392276,0.9731962964175237,0.16636508222554575,0.03141642207058749,0.26185238786077225,0.855,0.55875,0.92,1.0,0.98725,1.0,1.0,0.9745,1.0
CHARLS,intercept_only,0.2,30,0.8666666666666667,1.0,1.0,1.0,783.0,783.0,783.0,783.0,783.0,783.0,157.5,146.45,165.0125,157.5,146.45,165.0125,0.6599281570827522,0.6394805717363623,0.6851478017459033,0.14983866574348115,0.14399092658424176,0.16188705602756986,-0.008558665536553496,-0.01168764041072996,-0.0050465574063250605,-0.00038127456539082023,-0.12272995792079001,0.2002946537932749,0.0634343341552132,0.04614949879146177,0.2002946537932749,0.8336349177744542,0.7381476121392276,0.9731962964175237,0.16636508222554575,0.03141642207058749,0.26185238786077225,0.975,0.48875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
