cohort,outer_split,method,calibration_fraction_total_persons,inner_attempts,inner_successes,fit_success_rate,total_persons,evaluation_persons,evaluation_records,evaluation_events,median_calibration_persons,median_calibration_records,median_calibration_events,median_calibration_event_persons,median_auc,median_brier,median_delta_brier_vs_raw,median_citl,median_abs_citl,median_slope,median_abs_slope_error,proportion_abs_citl_le_0_20,proportion_brier_within_plus_0_001,proportion_brier_improved,descriptive_tolerance_met
CHARLS,1,intercept_and_slope,0.05,100,100,1.0,3915,1566,1566,321,195.0,195.0,39.0,39.0,0.6669606776013712,0.1535527702378095,-0.007975449613948693,0.01036400408575073,0.1285377286089851,0.9775571811524908,0.208904606564633,0.76,1.0,1.0,False
CHARLS,1,intercept_and_slope,0.1,100,100,1.0,3915,1566,1566,321,391.0,391.0,78.0,78.0,0.6669606776013712,0.1526848422474405,-0.008843377604317679,0.034472066612374036,0.07591034923749426,0.997036524544566,0.1494627234778872,0.89,1.0,1.0,False
CHARLS,1,intercept_and_slope,0.2,100,100,1.0,3915,1566,1566,321,783.0,783.0,157.0,157.0,0.6669606776013712,0.15244302235637303,-0.00908519749538518,0.03574758604754717,0.04954563697172845,1.0142060081736017,0.10736086604559941,0.99,1.0,1.0,False
CHARLS,1,intercept_and_slope,0.3,100,100,1.0,3915,1566,1566,321,1174.0,1174.0,233.0,233.0,0.6669606776013712,0.15236318316052466,-0.009165036691233516,0.03598765233117643,0.04173868520101972,1.0011098573222001,0.051776801963299035,1.0,1.0,1.0,True
CHARLS,1,intercept_and_slope,0.4,100,100,1.0,3915,1566,1566,321,1566.0,1566.0,311.5,311.5,0.6669606776013712,0.15229742642309982,-0.009230793428658374,0.031628586486657645,0.03540429357204673,0.9778485117701642,0.045221548261534794,1.0,1.0,1.0,True
CHARLS,1,intercept_and_slope,0.5,100,100,1.0,3915,1566,1566,321,1957.0,1957.0,388.5,388.5,0.6669606776013712,0.15228265955552017,-0.00924556029623802,0.03883509962445758,0.03883509962445758,0.9900597660803981,0.02565753016848321,1.0,1.0,1.0,True
CHARLS,1,intercept_and_slope,0.6,100,100,1.0,3915,1566,1566,321,2349.0,2349.0,466.0,466.0,0.6669606776013712,0.15226323271608053,-0.009264987135677666,0.03926067160414135,0.03926067160414135,0.9840486638571885,0.015951336142811523,1.0,1.0,1.0,True
CHARLS,1,intercept_only,0.05,100,100,1.0,3915,1566,1566,321,195.0,195.0,39.0,39.0,0.6669606776013712,0.1527519764244535,-0.00877624342730468,0.014497850064622113,0.12804158943230715,0.8465022734251885,0.15349772657481153,0.76,1.0,1.0,False
CHARLS,1,intercept_only,0.1,100,100,1.0,3915,1566,1566,321,391.0,391.0,78.0,78.0,0.6669606776013712,0.15247902558698534,-0.009049194264772839,0.03553641099418922,0.07762306030172895,0.8465022734251885,0.15349772657481153,0.89,1.0,1.0,True
CHARLS,1,intercept_only,0.2,100,100,1.0,3915,1566,1566,321,783.0,783.0,157.0,157.0,0.6669606776013712,0.1523876145115683,-0.009140605340189886,0.035653788185233355,0.04968833270618419,0.8465022734251885,0.15349772657481153,0.99,1.0,1.0,True
CHARLS,1,intercept_only,0.3,100,100,1.0,3915,1566,1566,321,1174.0,1174.0,233.0,233.0,0.6669606776013712,0.152367569510993,-0.0091606503407652,0.03614752467005779,0.042044758676462894,0.8465022734251885,0.15349772657481153,1.0,1.0,1.0,True
CHARLS,1,intercept_only,0.4,100,100,1.0,3915,1566,1566,321,1566.0,1566.0,311.5,311.5,0.6669606776013712,0.1523586749259875,-0.009169544925770684,0.03286162851795646,0.034446101223707094,0.8465022734251885,0.15349772657481153,1.0,1.0,1.0,True
CHARLS,1,intercept_only,0.5,100,100,1.0,3915,1566,1566,321,1957.0,1957.0,388.5,388.5,0.6669606776013712,0.15234947369743956,-0.009178746154318643,0.0388862303008429,0.0388862303008429,0.8465022734251885,0.15349772657481153,1.0,1.0,1.0,True
CHARLS,1,intercept_only,0.6,100,100,1.0,3915,1566,1566,321,2349.0,2349.0,466.0,466.0,0.6669606776013712,0.15234445496367532,-0.009183764888082868,0.03938827653673089,0.03938827653673089,0.8465022734251885,0.15349772657481153,1.0,1.0,1.0,True
