cohort,outer_split,total_persons,evaluation_persons,calibration_pool_persons,evaluation_records,calibration_pool_records,evaluation_events,calibration_pool_events,calibration_evaluation_person_overlap
CHARLS,1,3915,1566,2349,1566,2349,321,466,0
CHARLS,2,3915,1566,2349,1566,2349,307,480,0
CHARLS,3,3915,1566,2349,1566,2349,314,473,0
CHARLS,4,3915,1566,2349,1566,2349,307,480,0
CHARLS,5,3915,1566,2349,1566,2349,302,485,0
CHARLS,6,3915,1566,2349,1566,2349,305,482,0
CHARLS,7,3915,1566,2349,1566,2349,301,486,0
CHARLS,8,3915,1566,2349,1566,2349,336,451,0
CHARLS,9,3915,1566,2349,1566,2349,307,480,0
CHARLS,10,3915,1566,2349,1566,2349,330,457,0
CHARLS,11,3915,1566,2349,1566,2349,316,471,0
CHARLS,12,3915,1566,2349,1566,2349,303,484,0
CHARLS,13,3915,1566,2349,1566,2349,313,474,0
CHARLS,14,3915,1566,2349,1566,2349,313,474,0
CHARLS,15,3915,1566,2349,1566,2349,320,467,0
CHARLS,16,3915,1566,2349,1566,2349,286,501,0
CHARLS,17,3915,1566,2349,1566,2349,313,474,0
CHARLS,18,3915,1566,2349,1566,2349,319,468,0
CHARLS,19,3915,1566,2349,1566,2349,315,472,0
CHARLS,20,3915,1566,2349,1566,2349,326,461,0
CHARLS,21,3915,1566,2349,1566,2349,345,442,0
CHARLS,22,3915,1566,2349,1566,2349,320,467,0
CHARLS,23,3915,1566,2349,1566,2349,300,487,0
CHARLS,24,3915,1566,2349,1566,2349,314,473,0
CHARLS,25,3915,1566,2349,1566,2349,305,482,0
CHARLS,26,3915,1566,2349,1566,2349,316,471,0
CHARLS,27,3915,1566,2349,1566,2349,321,466,0
CHARLS,28,3915,1566,2349,1566,2349,351,436,0
CHARLS,29,3915,1566,2349,1566,2349,311,476,0
CHARLS,30,3915,1566,2349,1566,2349,305,482,0
HRS,1,20016,8006,12010,33764,50177,3171,4895,0
HRS,2,20016,8006,12010,33353,50588,3209,4857,0
HRS,3,20016,8006,12010,33252,50689,3246,4820,0
HRS,4,20016,8006,12010,33479,50462,3196,4870,0
HRS,5,20016,8006,12010,33824,50117,3257,4809,0
HRS,6,20016,8006,12010,33580,50361,3242,4824,0
HRS,7,20016,8006,12010,33572,50369,3256,4810,0
HRS,8,20016,8006,12010,33679,50262,3144,4922,0
HRS,9,20016,8006,12010,33240,50701,3254,4812,0
HRS,10,20016,8006,12010,33165,50776,3239,4827,0
HRS,11,20016,8006,12010,33168,50773,3196,4870,0
HRS,12,20016,8006,12010,33617,50324,3225,4841,0
HRS,13,20016,8006,12010,33505,50436,3193,4873,0
HRS,14,20016,8006,12010,33625,50316,3246,4820,0
HRS,15,20016,8006,12010,33615,50326,3271,4795,0
HRS,16,20016,8006,12010,34138,49803,3195,4871,0
HRS,17,20016,8006,12010,33553,50388,3216,4850,0
HRS,18,20016,8006,12010,33992,49949,3247,4819,0
HRS,19,20016,8006,12010,33766,50175,3221,4845,0
HRS,20,20016,8006,12010,33536,50405,3215,4851,0
HRS,21,20016,8006,12010,33612,50329,3271,4795,0
HRS,22,20016,8006,12010,34023,49918,3209,4857,0
HRS,23,20016,8006,12010,33754,50187,3179,4887,0
HRS,24,20016,8006,12010,33954,49987,3167,4899,0
HRS,25,20016,8006,12010,33425,50516,3187,4879,0
HRS,26,20016,8006,12010,33621,50320,3185,4881,0
HRS,27,20016,8006,12010,33692,50249,3135,4931,0
HRS,28,20016,8006,12010,33592,50349,3263,4803,0
HRS,29,20016,8006,12010,33705,50236,3187,4879,0
HRS,30,20016,8006,12010,33903,50038,3156,4910,0
ELSA,1,8609,3443,5166,12216,18395,1203,1772,0
