cohort,model,prior_wave,landmark_wave,prior_year,landmark_year,outcome_year,history_horizon_years,prediction_horizon_years,primary_horizon,interval_class,evaluation_weighting,persons,records,events,event_rate,mean_prediction,auc,brier,calibration_intercept,calibration_slope
CHARLS,M0,2,3,2013,2015,2018,2,3,TRUE,primary_2to3_year,unweighted,3915,3915,787,0.201021711366539,0.0927781684888824,0.613889750972485,0.168590991875142,0.925050952010505,0.926584481975022
CHARLS,M1,2,3,2013,2015,2018,2,3,TRUE,primary_2to3_year,unweighted,3915,3915,787,0.201021711366539,0.1116797093589,0.661865650906515,0.158925810626642,0.746403411925183,0.854529074315312
HRS,M0,4,5,1998,2000,2002,2,2,TRUE,primary_2to3_year,unweighted,7250,7250,671,0.092551724137931,0.162316651252833,0.657857872755498,0.0856856655898661,-0.65729418438393,1.34003639951352
HRS,M0,5,6,2000,2002,2004,2,2,TRUE,primary_2to3_year,unweighted,7351,7351,677,0.0920963134267447,0.163371820716572,0.660983737681755,0.0855531690435846,-0.670796021412082,1.35785794941382
HRS,M0,6,7,2002,2004,2006,2,2,TRUE,primary_2to3_year,unweighted,7266,7266,696,0.0957886044591247,0.16560764689871,0.652356474920835,0.0889286254266196,-0.642511299845317,1.26598050279181
HRS,M0,7,8,2004,2006,2008,2,2,TRUE,primary_2to3_year,unweighted,7110,7110,686,0.0964838255977497,0.170014682223934,0.631030478816682,0.0906409151608341,-0.666907804222216,1.12053326136416
HRS,M0,8,9,2006,2008,2010,2,2,TRUE,primary_2to3_year,unweighted,6877,6877,756,0.109931656245456,0.172833603454028,0.624226684265894,0.0990553693371778,-0.538973010154939,1.11756591425072
HRS,M0,9,10,2008,2010,2012,2,2,TRUE,primary_2to3_year,unweighted,6905,6905,599,0.0867487328023172,0.175807604092523,0.611874002923786,0.0865918753921771,-0.827905067381786,0.945469276149425
HRS,M0,10,11,2010,2012,2014,2,2,TRUE,primary_2to3_year,unweighted,7307,7307,703,0.096209114547694,0.172740101839182,0.619995274212017,0.0918726461467698,-0.691109125887225,0.944263442432379
HRS,M0,11,12,2012,2014,2016,2,2,TRUE,primary_2to3_year,unweighted,7048,7048,692,0.0981838819523269,0.171702082045786,0.631933506004067,0.0919391867821788,-0.661099195120084,1.06695096631472
HRS,M0,12,13,2014,2016,2018,2,2,TRUE,primary_2to3_year,unweighted,6564,6564,570,0.086837294332724,0.171560231416777,0.611880008663634,0.0859276717919371,-0.798843130263884,0.906195400621666
